"n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilite,observations,date_maj",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Auxerre (Appoigny),Mercure Auxerre Nord - Route nationale 6 - Lieu dit Le Chaumois -89380 Appoigny,89013,3.542802,47.85183,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Macon,1 Boulevard du Général de Gaulle - 71000 Sancé,71556,4.850173,46.346553,20,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Chalons en Champagne (Matougues),8 Route Nationale - 51510 Matougues ,51483,4.245022,48.991919,4,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Chambéry,1097 Avenue Des Landiers - 73000 Chambéry,73160,5.899842,45.592227,4,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Narbonne,130 Rue de L’Hôtellerie - 11100 Narbonne,11262,2.986016,43.167686,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Nimes,152 rue Claude Nicolas Ledoux - 30900 Nimes,30189,4.344721,43.815364,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Vienne (Chasse sur Rhone),145 rue Pasteur - 38670 Chasse-sur-Rhône,38087,4.787807,45.58693,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Metz, Rue de Maizières-les-Metz Hauconcourt","  France 57280,57645,6.170791,49.216414,12,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Archamps,Route de Chosal"," 74160 Archamps,74016,6.1243,46.136916,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Senlis,72 Avenue du General de Gaulle"," 60300 Senlis,60422,2.605978,49.20858,16,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Tours,19 Quai de la Loire"," 37210 Rochecorbon,37281,0.744827,47.407325,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Orange,Rue Cinsault"," 84100 Orange ,84135,4.851759,44.112164,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Saintes,132 Cours Genet"," 17100 Saintes ,17128,-0.661725,45.750012,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Nancy,8 Allée de la Genelière"," 54180 Houdemont,54257,6.184349,48.638215,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Toulouse (Castelnau-d'Estrétefonds),Avenue de Saint Guillan"," 31620 Castelnau-d'Estrétefonds,31252,1.361378,43.769334,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Brive-la-Gaillarde,Le Griffolet"," 19270 Ussac,19234,1.483119,45.16724,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Calais,ZAC Les Terrasses", Rue des Longues Pièces," 62231 Coquelles ,62239,1.803888,50.924335,6,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130"
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Le Mans,ZAC du Moulin aux Moines La Chapelle"," 72650 St Aubin,72198,0.175331,48.041807,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Calais - Eurotunnel Terminal,Eurotunnel France terminal", Boulevard de l'Europe," 62231 Coquelles,62239,1.810584,50.934207,4,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130"
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Rennes,Allée d'Ukraine"," 35200 Rennes,35238,-1.684341,48.081796,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Mulhouse,26 Route départementale 201"," 68390 Sausheim,68300,7.388082,47.781956,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Rungis,1 Rue du pont des halles"," 94150 Rungis,94065,2.351061,48.754477,6,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Lille - Lesquin,55 route de Douai"," 59810 Lille,59343,3.089573,50.584316,16,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Bordeaux - Merignac,80 Avenue J. F. Kennedy"," 33700 Merignac,33281,-0.68083,44.834142,10,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Valence,217 Avenue de Provence"," 26000 Valence,26362,4.878134,44.919018,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Beaune,7 Avenue Charles de Gaulle"," 21200 Beaune,21170,4.849253,47.0075,12,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Aix-en-Provence,Avenue Arc de Meyran"," 13100 Aix-en-Provence,13012,5.456493,43.510682,4,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Nantes - La Chapelle-sur-Erdre,34 rue de la Vrière"," 44240 La Chapelle-sur-Erdre,44201,-1.550287,47.282635,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Chambéry - Barberaz,61 rue de la République Barberaz","  France 73000,73160,5.949646,45.56085,4,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Rouen,Rue de la Mare Sansoure"," 76800 Saint-Etienne-du-Rouvray,76575,1.059818,49.388964,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Strasbourg, Rue du 23 Novembre"," 67400 Ostwald,67218,7.702054,48.534041,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Orgeval,482 Route Des 40 Sous"," 78630 Orgeval,78466,1.996508,48.925026,4,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Bourges,3 Rue Joseph Aristide Auxenfans"," 18000 Bourges,18033,2.344843,47.049393,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Châteauroux, Route départementale 920 - face aéroport"," 36130 Coings,36128,1.716028,46.863047,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Clermont-Ferrand,32-34 rue Georges Besse"," 63100 Clermont-Ferrand,63113,3.141488,45.785937,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Mougins,205 avenue du Golf"," 06250 Mougins,6085,7.011155,43.603659,4,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Bayonne,1 Chemin de Hayet"," 64100 Bayonne,64102,-1.452564,43.493819,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Caen,1 Avenue du Fresne"," 14760 Bretteville-sur-Odon,14101,-0.424692,49.164038,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Albaret-Sainte-Marie - Aire de La Garde,Aire de la garde A75"," 48200 Albaret-Sainte-Marie,48059,3.253025,44.870945,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Aire de Reims-Champagne-Sud,Aire de Reims-Champagne-Sud A4"," 51400 Les Petites-Loges,51205,4.242234,49.121016,6,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Aire de Reims-Champagne-Nord,Aire de Reims-Champagne-Nord A4"," 51400 Les Petites-Loges,51205,4.245951,49.11918,6,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Aire du Caylar,Aire du Caylar - A75 34520 Le Caylar,34317,3.313277,43.864589,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Lorient - Caudan,758 rue Pïerre Landais 56850 Caudan,56036,-3.331263,47.788035,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Marne-la-Vallée,2 Allée des Portes de la Forêt 77090 Collégien,77121,2.678019,48.830877,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Orléans,Chemin des Sablons 45770 Saran,45302,1.86831,47.948869,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Poitiers,Avenue René Monory 86360 Chasseneuil-du-Poitou,86062,0.362651,46.670356,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Grenoble,134 Chemin des Fontaines 38190 Bernin,38039,5.876448,45.265676,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Cagnes-sur-Mer,119 Avenue des Alpes 06800 Cagnes-Sur-Mer,6027,7.127372,43.666446,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Sisteron,1 Allée des Tilleuls 04200 Sisteron,4179,5.913554,44.226199,4,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Aire de Manissieux, A43 - Aire de Manissieux 69800 Saint-Priest,69290,4.977541,45.69848,6,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Aire de Saint-Priest, A43 - Aire de Saint-Priest 69800 Saint-Priest,69290,4.975513,45.698042,6,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Langon, Centre commercial Moléon - Boulevard Pierre Lagorce 33210 Langon,33465,-0.253972,44.54244,4,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Aire d'Urvillers, A26 - Aire d'Urvillers 02690 Urvillers,2287,3.335626,49.787019,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Aix-en-Provence - Val de l'Arc, Chemin des Infirmeries 13100 Aix-en-Provence,13012,5.466433,43.511938,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Saint-Brieuc,5 Rue de la Landelle 22360 Langueux,22106,-2.722584,48.493409,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Aire de Châteauvillain - Orges, A5 - Aire de Châteauvillain-Orges 52120 Châteauvillain,52399,4.96061,48.057681,6,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Aire de Châteauvillain - Val Marnay, A5 - Aire de Châteauvillain-Val Marnay 52120 Châteauvillain,52399,4.959604,48.057341,6,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Pau,2 rue suzanne lenglen 64000 Pau,64445,-0.358762,43.332257,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Valenciennes, Rue de Maugré 59220 Rouvignies,59515,3.455931,50.336704,10,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Val-de-Meuse, D132 52140 Val-de-Meuse,52416,5.51296,47.99147,16,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Toulon,80 Chemin de la Capellane 83500 La Seyne-sur-Mer,83126,5.85086,43.121199,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Aire de la Baie de Somme, A16 - Aire de la Baie de Somme 80970 Sailly-Flibeaucourt,80692,1.755505,50.167321,10,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Amiens, Route de Paris - Dury 80000 Amiens,80021,2.278154,49.863496,10,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Aire du Poulet de Bresse, A39 - Aire du Poulet de Bresse 71480 Dommartin-lès-Cuiseaux,71300,5.310394,46.496179,10,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Thiais,Centre Commercial Belle Epine -  Rue du Luxembourg 94320 Thiais,94073,2.373034,48.754865,12,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Mont-Saint-Michel, ZA Le Point du Jour 35610 Saint-Georges-de-Gréhaigne,35270,-1.543283,48.568171,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Troyes - Saint-Parres-aux-Tertres, Zone commerciale de Saint-Parres-aux-Tertres 10410 Saint-Parres-aux-Tertres,10357,4.130685,48.293229,10,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Besançon,1 bis rue Victor Considérant 25770 Chemaudin et Vaux,25542,5.901153,47.234539,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",,
